Date,Open,High,Low,Close,Adj Close,Volume
"Nov 1, 2024",11.21,11.22,10.81,11.04,11.04,"41,561,500"
"Oct 31, 2024",11.16,11.32,10.88,11.17,11.17,"59,129,200"
"Oct 30, 2024",10.47,11.50,10.46,11.22,11.22,"95,149,900"
"Oct 29, 2024",10.75,10.80,9.77,10.47,10.47,"164,917,900"
"Oct 28, 2024",11.21,11.31,11.02,11.19,11.19,"69,753,400"
"Oct 25, 2024",11.21,11.34,10.89,10.99,10.99,"58,331,300"
"Oct 24, 2024",10.91,11.30,10.78,10.93,10.93,"72,141,300"
"Oct 23, 2024",10.55,10.65,10.18,10.42,10.42,"38,130,400"
"Oct 22, 2024",10.32,10.62,10.32,10.58,10.58,"36,501,700"
"Oct 21, 2024",10.26,10.54,10.19,10.40,10.40,"50,814,300"
"Oct 18, 2024",9.91,10.18,9.88,10.18,10.18,"31,400,300"
"Oct 17, 2024",10.01,10.03,9.62,9.87,9.87,"50,293,900"
"Oct 16, 2024",10.23,10.32,9.91,10.04,10.04,"48,045,000"
"Oct 15, 2024",10.16,10.49,10.03,10.18,10.18,"87,195,400"
"Oct 14, 2024",9.62,10.07,9.38,10.04,10.04,"116,449,900"
"Oct 11, 2024",8.65,9.07,8.63,9.01,9.01,"42,833,300"
"Oct 10, 2024",8.51,8.76,8.46,8.63,8.63,"46,015,000"
"Oct 9, 2024",8.41,8.66,8.30,8.59,8.59,"32,950,100"
"Oct 8, 2024",8.32,8.60,8.26,8.41,8.41,"40,451,800"
"Oct 7, 2024",8.36,8.52,8.16,8.27,8.27,"40,480,600"
"Oct 4, 2024",8.03,8.40,7.90,8.39,8.39,"58,014,300"
"Oct 3, 2024",7.75,7.86,7.65,7.83,7.83,"28,729,000"
"Oct 2, 2024",7.60,7.83,7.57,7.79,7.79,"27,871,200"
"Oct 1, 2024",7.88,7.90,7.61,7.63,7.63,"34,573,700"
"Sep 30, 2024",7.90,8.07,7.81,7.86,7.86,"28,296,700"
"Sep 27, 2024",7.82,8.10,7.82,7.95,7.95,"33,376,700"
"Sep 26, 2024",7.83,7.87,7.68,7.76,7.76,"27,429,400"
"Sep 25, 2024",7.85,7.88,7.71,7.73,7.73,"26,123,100"
"Sep 24, 2024",7.96,7.97,7.58,7.83,7.83,"47,198,600"
"Sep 23, 2024",8.12,8.13,7.91,7.92,7.92,"31,400,000"
"Sep 20, 2024",8.14,8.22,8.01,8.05,8.05,"36,453,900"
"Sep 19, 2024",8.44,8.46,8.13,8.19,8.19,"58,745,600"
"Sep 18, 2024",8.10,8.53,8.04,8.11,8.11,"63,736,800"
"Sep 17, 2024",8.20,8.28,8.06,8.12,8.12,"49,071,800"
"Sep 16, 2024",7.74,8.08,7.63,8.06,8.06,"44,920,400"
"Sep 13, 2024",7.52,7.74,7.52,7.74,7.74,"45,043,900"
"Sep 12, 2024",7.29,7.51,7.24,7.46,7.46,"39,131,900"
"Sep 11, 2024",7.02,7.35,6.95,7.31,7.31,"42,877,800"
"Sep 10, 2024",7.16,7.17,6.75,7.05,7.05,"57,932,200"
"Sep 9, 2024",7.04,7.21,7.01,7.08,7.08,"33,004,200"
"Sep 6, 2024",7.29,7.40,6.92,7.01,7.01,"46,372,000"
"Sep 5, 2024",7.55,7.64,7.24,7.26,7.26,"37,429,500"
"Sep 4, 2024",7.41,7.76,7.41,7.48,7.48,"34,795,200"
"Sep 3, 2024",7.89,7.92,7.48,7.53,7.53,"43,359,200"
"Aug 30, 2024",8.11,8.23,7.81,7.99,7.99,"40,858,700"
"Aug 29, 2024",7.65,8.30,7.64,8.03,8.03,"84,954,500"
"Aug 28, 2024",7.70,7.73,7.40,7.49,7.49,"33,583,100"
"Aug 27, 2024",7.58,7.89,7.54,7.77,7.77,"27,703,700"
"Aug 26, 2024",7.61,7.79,7.55,7.67,7.67,"31,511,400"
"Aug 23, 2024",7.21,7.56,7.18,7.52,7.52,"52,448,400"
"Aug 22, 2024",7.32,7.34,7.18,7.19,7.19,"29,843,200"
"Aug 21, 2024",7.40,7.43,7.13,7.30,7.30,"38,849,700"
"Aug 20, 2024",7.39,7.51,7.28,7.37,7.37,"42,987,600"
"Aug 19, 2024",7.11,7.50,7.09,7.46,7.46,"51,562,200"
"Aug 16, 2024",6.90,7.08,6.89,7.00,7.00,"24,474,900"
"Aug 15, 2024",6.74,6.96,6.69,6.91,6.91,"36,188,900"
"Aug 14, 2024",6.75,6.78,6.56,6.61,6.61,"22,578,400"
"Aug 13, 2024",6.50,6.65,6.49,6.64,6.64,"26,015,000"
